"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"78","PCRU","HOW1",46,"C",23,17.4,163,1462541.24,5079337.947,-16.63970275,5.087267662,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",193.991268647093
"79","PCRU","HOW1",87,"C",27,13.8,140,1462547.309,5079341.73,-10.57141332,8.870469014,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",275.29442359132
"80","PCRU","HOW1",88,"I",10.5,10.5,132,1462550.854,5079340.663,-7.025871367,7.803020668,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",35.0256785062557
"81","PCRU","HOW1",49,"C",37.4,12.9,192,1462545.262,5079330.178,-12.61810405,-2.682060812,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",560.67220248597
"82","PCRU","HOW1",130,"C",23.4,16.2,356,1462574.041,5079331.73,16.16053761,-1.130054875,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",201.432032042722
"83","PCRU","HOW1",131,"C",23.6,16.6,354,1462574.389,5079331.125,16.50906346,-1.73517249,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",205.209385400178
"84","PCRU","HOW1",105,"I",16.4,3.4,6,1462561.261,5079333.215,3.381374444,0.355396775,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",92.7116771408064
"85","PCRU","HOW1",93,"C",32,15.2,117,1462550.979,5079346.403,-6.900655596,13.54329917,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",398.90797592721
"86","PCRU","HOW1",134,"C",32.7,16.2,1,1462574.078,5079333.143,16.19753266,0.282728984,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",418.2038833277
"87","PCRU","HOW1",55,"C",25.8,17.4,190,1462540.744,5079329.839,-17.1356549,-3.021478291,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",249.28499335249
