site,trees,species,Canopy,dbh,dist,azimuth,
HOW3,14,TSCA,I,24.7,3.8,17,Li
HOW3,15,TSCA,C,27.9,4.5,14,Li
HOW3,16,TSCA,I,26.2,5.2,40,Li
HOW3,17,TSCA,C,31.4,6,82,Li
HOW3,18,TSCA,S,16.7,11.7,70,Li
HOW3,19,TSCA,C,35.2,11.2,75,Li
HOW3,20,TSCA,C,26.6,12.7,73,Li
HOW3,21,TSCA,D,45.6,17.9,56,Li
HOW3,22,TSCA,C,39,19.9,38,Li
HOW3,23,TSCA,S,10.3,11.1,39,Li
HOW3,24,TSCA,I,14,12.1,33,Li
HOW3,25,TSCA,C,41.3,7.1,15,Li
HOW3,26,TSCA,C,37,8,16,Li
HOW3,27,TSCA,C,34.8,19.7,32,Li
HOW3,28,TSCA,C,36.8,3,300,Li
HOW3,29,TSCA,C,33.1,3.2,297,Li
HOW3,30,TSCA,S,11.6,3.4,275,Li
HOW3,31,TSCA,C,37.5,6.4,295,Li
HOW3,32,TSCA,C,43,7.9,292,Li
HOW3,33,TSCA,I,21,8.2,320,Li
HOW3,34,TSCA,S,17.2,9,340,Li
HOW3,35,TSCA,D,38.9,9.9,302,Li
HOW3,36,TSCA,C,27.3,15.3,325,Li
HOW3,37,TSCA,C,31.6,16.8,305,Li
HOW3,38,TSCA,C,27.6,19.1,290,Li
HOW3,39,TSCA,S,10.8,12.2,273,Li
HOW3,40,TSCA,C,44.4,13.4,276,Li
HOW3,41,TSCA,C,44.5,16.1,335,Li
HOW3,42,TSCA,C,31.1,5.3,230,Li
HOW3,43,TSCA,C,25.7,6.6,220,Li
HOW3,44,TSCA,C,36.2,7.4,200,Li
HOW3,45,TSCA,S,15.6,7.1,185,Li
HOW3,46,TSCA,S,15.4,7.3,180,Li
HOW3,47,TSCA,D,43.2,11.1,197,Li
HOW3,48,TSCA,C,31.2,13.7,193,Li
HOW3,49,TSCA,S,17,12.7,203,Li
HOW3,50,TSCA,C,18.7,12.7,203,Li
HOW3,51,TSCA,C,42.8,17.4,184,Li
HOW3,52,TSCA,C,30.5,17.4,182,Li
HOW3,53,TSCA,C,36,18.7,185,Li
HOW3,54,TSCA,I,22,18.7,195,Li
