"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"31","ABBA","HOW1",115,1.15,1963,31.6055,22.2145,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",8.9271,9.1571,20.6592007362529,1.10227863342014,8.77165465866971
"32","ABBA","HOW1",115,1.139,1964,32.7445,21.0755,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",9.1571,9.3849,21.7829326470981,1.12373191084523,8.94237441605596
"33","ABBA","HOW1",115,0.855,1965,33.5995,20.2205,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",9.3849,9.5559,22.6474685504293,0.86453590333122,6.87975812477904
"34","ABBA","HOW1",115,1.0955,1962,30.4555,23.3645,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",8.708,8.9271,19.5569221028327,1.0199671529635,8.11664070927538
"35","ABBA","HOW1",115,1.5575,1954,19.702,34.118,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",6.4649,6.7764,10.7959945511606,1.04137750668616,8.28701889069075
"36","ABBA","HOW1",115,1.2925,1957,24.2635,29.5565,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",7.4302,7.6887,14.1742536217214,1.00728424425171,8.01571332856218
"37","ABBA","HOW1",115,1.205,1958,25.4685,28.3515,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",7.6887,7.9297,15.1492865199057,0.975032898184263,7.75906527116211
"38","ABBA","HOW1",115,1.8705,1953,18.1445,35.6755,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",6.0908,6.4649,9.75461704447446,1.17614822171946,9.35949016476973
"39","ABBA","HOW1",115,0.586,1974,41.273,12.547,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.9734,11.0906,31.2208578934657,0.70681740419171,5.62467418702464
"40","ABBA","HOW1",115,0.579,1975,41.852,11.968,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.0906,11.2064,31.9277608060962,0.706902912630492,5.62535464156005
